Product Name,File Path,Config file name,Config Type,Search Provider Used,Content Delivery (CD),Content Management (CM),Processing,CM + Processing,Reporting,Reporting Client
Platform,\website\,Web.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Commands.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,ConnectionStrings.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,ConnectionStringsOracle.config,config,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\,FieldTypes.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Icons.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,LanguageDefinitions.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,MimeTypes.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Portraits.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Prototypes.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Sitecore.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,XamlSharp.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
SPEAK,\website\App_Config\Include,001.Sitecore.Speak.Important.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
Platform,\website\App_Config\Include,DataFolder.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\Include,EventHandler.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\Include,ForwardingSecurityEvents.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\Include,ja-JP.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\Include,LiveMode.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\Include,ScalabilitySettings.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Automation.TimeoutProcessing.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Compatibility.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.ExcludeRobots.config,config,,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.MarketingTaxonomy.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.MarketingTaxonomyCD.config.disabled,disabled,,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Model.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.MongoDb.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Oracle.config.disabled,disabled,,Disable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Outcome.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.Aggregation.config,config,,Disable,Enable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.Aggregation.ProcessingPools.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.Aggregation.Services.config,config,,Disable,Disable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.config,config,,Disable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Processing.Services.config,config,,Disable,Disable,Enable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Reporting.config,config,,Disable,Enable,Disable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.Aggregation.config,config,,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.Database.config,config,,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.Database.ScaledCM.config.disabled,config,,Disable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.Outcome.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Analytics.Tracking.RobotDetection.config,config,,Enable,Disable,Disable,Disable,Disable,n/a
Platform,\website\App_Config\Include,Sitecore.AntiCsrf.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
AppCenter,\website\App_Config\Include,Sitecore.Apps.TagInjection.config ,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\Include,Sitecore.Buckets.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
